Estado,inicio,varinicio,varfim,PT_V,id,VIR,int,real,lit,leia,escreva,literal,num,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,facaAte,fimFaca,fim,EOF
0,S2,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,ACCEPT
2,,S40,,,,,,,,,,,,,,,,,,,,,,,
3,S4,,,,S12,,,,,S10,S11,,,,,S69,,,,,,S14,,S9,
4,,,,,,,,,,,,,,,,,,,,,,,,,R2
5,,,,,S12,,,,,S10,S11,,,,,S69,,,,,,S14,,S9,
6,,,,,S12,,,,,S10,S11,,,,,S69,,,,,,S14,,S9,
7,,,,,S12,,,,,S10,S11,,,,,S69,,,,,,S14,,S9,
8,,,,,S12,,,,,S10,S11,,,,,S69,,,,,,S14,,S9,
9,,,,,,,,,,,,,,,,,,,,,,,,,R38
10,,,,,S20,,,,,,,,,,,,,,,,,,,,
11,,,,,S15,,,,,,,S22,S23,,,,,,,,,,,,
12,,,,,,,,,,,,,,S25,,,,,,,,,,,
13,,,,,S12,,,,,S10,S11,,,,,S69,,,,,S35,,,,
14,,,,,,,,,,,,,,,,,S55,,,,,,,,
15,,,,R17,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,R12
17,,,,,,,,,,,,,,,,,,,,,,,,,R18
18,,,,,,,,,,,,,,,,,,,,,,,,,R32
19,,,,,,,,,,,,,,,,,,,,,,,,,R24
20,,,,S66,,,,,,,,,,,,,,,,,,,,,
21,,,,S24,,,,,,,,,,,,,,,,,,,,,
22,,,,R15,,,,,,,,,,,,,,,,,,,,,
23,,,,R16,,,,,,,,,,,,,,,,,,,,,
24,,,,,R14,,,,,R14,R14,,,,,R14,,,,,R14,R14,R14,R14,
25,,,,,S30,,,,,,,,S31,,,,,,,,,,,,
26,,,,S77,,,,,,,,,,,,,,,,,,,,,
27,,,,R21,,,,,,,,,,,S28,,,,,,,,,,
28,,,,,S30,,,,,,,,S31,,,,,,,,,,,,
29,,,,R20,,,,,,,,,,,,,,,,,,,,,
30,,,,R22,,,,,,,,,,,R22,,,R22,,R22,,,,,
31,,,,R23,,,,,,,,,,,R23,,,R23,,R23,,,,,
32,,,,,R25,,,,,R25,,,,,,R25,,,,,R25,R25,R25,R25,
33,,,,,S12,,,,,S10,S11,,,,,S69,,,,,S35,,,,
34,,,,,R28,,,,,,,,,,R28,,,,,,R28,R28,R28,R28,
35,,,,,R31,,,,,,,,,,R31,,,,,,R31,R31,R31,R31,
36,,,,,S12,,,,,S10,S11,,,,,S69,,,,,S35,,,,
37,,,,,R29,,,,,,,,,,R29,,,,,,R29,R29,R29,R29,
38,,,,,S12,,,,,S10,S11,,,,,S69,,,,,S35,,,,
39,,,,,R30,,,,,,,,,,R30,,,,,,R30,R30,R30,R30,
40,,,,,S51,,S48,S49,S50,,,,,,,,,,,,,,,,
41,,,,,,,,,,R3,R3,,,,,R3,,,,,,R3,,R3,
42,,,S43,,S51,,S48,S49,S50,,,,,,,,,,,,,,,,
43,,,,S44,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,R5,R5,,,,,R5,,,,,,R5,,R5,
45,,,,,S51,,S48,S49,S50,,,,,,,,,,,,,,,,
46,,,,S47,,,,,,,,,,,,,,,,,,,,,
47,,,R6,,R6,,R6,R6,R6,,,,,,,,,,,,,,,,
48,,,,R9,R9,,,,,,,,,,,,,,,,,,,,
49,,,,R10,R10,,,,,,,,,,,,,,,,,,,,
50,,,,R11,R11,,,,,,,,,,,,,,,,,,,,
51,,,,R8,,S52,R8,R8,R8,,,,,,,,,,,,,,,,R8
52,,,,,S51,,,,,,,,,,,,,,,,,,,,
53,,,,R7,,,R7,R7,R7,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,S30,,,,,,,,S31,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,S57,,,,,,,
57,,,,,,,S12,,,S10,S11,,,,,S69,,,,,,,R60,,
58,,,,,R33,,,,,R33,R33,,,,,R33,,,,,,R33,,R33,
59,,,,,,,S12,,,S10,S11,,,,,S69,,,,,,,S60,,
60,,,,,R37,,,,,R37,R37,,,,,R37,,,,,,R37,,R37,
61,,,,,R34,,,,,R34,R34,,,,,R34,,,,,,R34,,R34,
62,,,,,,,S12,,,S10,S11,,,,,S69,,,,,,,S60,,
63,,,,,R35,,,,,R35,R35,,,,,R35,,,,,,R35,,R35,
64,,,,,,,S12,,,S10,S11,,,,,S69,,,,,,,S60,,
65,,,,,R36,,,,,R36,R36,,,,,R36,,,,,,R36,,R36,
66,,,,,R13,,,,,R13,R13,,,,,R13,,,,,R13,R13,R13,R13,
67,,,,S68,,,,,,R5,R5,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,R5,,,,,,R5,,R5,
69,,,,,,,,,,,,,,,,,S78,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,S71,,,,,
71,,,,,S30,,,,,,,,S31,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,R27,,,,,,,
73,,,,,,,,,,,,,,,,,,S74,,,,,,,
74,,,,,,,,,,,,,,,,,,,S75,,,,,,
75,,,,,R26,,,,,R26,R26,,,,,R26,,,,,R26,,,,
76,,,,,,,,,,R4,R4,,,,,R4,,,,,,R4,,R4,
77,,,,,R19,,,,,R19,R19,,,,,R19,,,,,R19,R19,R19,R19,
78,,,,,S30,,,,,,,,S31,,,,,,,,,,,,